Erkrankungsdatum;ID;Wochentag Erkrankungsdatum;N(RKI-H);Untere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen [ohne Gl„ttung];Obere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen [ohne Gl„ttung];NF(RKI-H);Untere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen;Obere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen;R(RKI-H);Untere Grenze des 95%-Pr„diktionsintervalls der Reproduktionszahl R;Obere Grenze des 95%-Pr„diktionsintervalls der Reproduktionszahl R;R(RKI7-H);Untere Grenze des 95%-Pr„diktionsintervalls des 7-Tage-R Wertes;Obere Grenze des 95%-Pr„diktionsintervalls des 7-Tage-R Wertes;NF(RKI7-H);Neuberechnung R(RKI7);N(BF);Neuberechnung mit Formel  NF(RKI-H);Neuberechnung mit Formel R (RKI-H);Datum RKI-Tagesbericht;Wochentag RKI-Tagesbericht;N_{BF} [k+3,k+4];R(RKI-A);R(RKI7-A);NF(NEU-H);R(NEU-H);NF(NEU-HA);R(NEU-HA);NF_{BF,AF7} [k+3,k+7];R_{BF,AF7} [k,k+7];NF(NEU-A);R(NEU-A);NF(BF)[k+11];R_{BF,AF7} [k,k+14];MAE(RKI7-H vs. RKI-H);MAE(RKI7-H vs. RKI7-H);MAE(RKI7-H vs. NEU-H);MAE(RKI7-H vs. NEU-HA);MAE(RKI7-H vs. RKI-A);MAE(RKI7-H vs. NEU-A);MAE NF(RKI-H) vs. N(RKI-H);MAE NF(RKI7-H) vs. N(RKI-H);MAE NF(NEU-H) vs. N(RKI-H);MAE NF(NEU-HA) vs. N(RKI-H)
02.03.2020;0;Montag;304;290;318;225;212;239;;;;;;;;;;;;06.03.2020;Freitag;;;;;;;;;;;;;;;;;;;;;;;
03.03.2020;1;Dienstag;320;306;336;261;247;276;;;;;;;;;;;;07.03.2020;Samstag;;;;;;;;;;;;;;;;;;;;;;;
04.03.2020;2;Mittwoch;449;431;468;326;310;342;;;;;;;;;;;;08.03.2020;Sonntag;;;;;;;;;;;;;;;;;;;;;;;
05.03.2020;3;Donnerstag;503;482;522;394;377;411;;;;;;;;;;394;;09.03.2020;Montag;;;;665;;;;;;;;;;;;;;;;;;;
06.03.2020;4;Freitag;759;737;783;508;489;527;2,26;2,18;2,32;2,34;2,3;2,39;;;;508;;10.03.2020;Dienstag;157;;;911;;;;;;;;;;;;;;;;;;;
07.03.2020;5;Samstag;986;961;1013;674;653;696;2,58;2,51;2,66;2,56;2,52;2,6;554;;;674;;11.03.2020;Mittwoch;271;;;1232;;;;;;;;;;;;;;;;;;;
08.03.2020;6;Sonntag;1337;1304;1370;896;871;922;2,75;2,67;2,83;2,94;2,88;2,99;665;;;896;;12.03.2020;Donnerstag;802;;;1630;;;;;;;;;;;;;;;;;;;
09.03.2020;7;Montag;2023;1983;2064;1276;1246;1307;3,24;3,15;3,33;3,13;3,08;3,19;911;;157;1276;3,24;13.03.2020;Freitag;693;;;2074;3,12;;;696;;;;2380;;;;;;;;;;;
10.03.2020;8;Dienstag;2569;2526;2621;1729;1693;1767;3,41;3,33;3,49;3,21;3,17;3,26;1232;;271;1729;3,40;14.03.2020;Samstag;733;;;2589;2,84;;;837;;;;2897;;;;;;;;;;;
11.03.2020;9;Mittwoch;3235;3191;3278;2291;2251;2333;3,4;3,33;3,46;3,12;3,08;3,16;1630;3,12;802;2291;3,40;15.03.2020;Sonntag;1043;;;3081;2,50;;;947;;;;3337;;;;;;;;;;;
12.03.2020;10;Donnerstag;3607;3551;3656;2858;2813;2905;3,19;3,14;3,24;2,84;2,81;2,87;2074;2,84;693;2859;3,19;16.03.2020;Montag;1174;;;3559;2,18;4852;2,98;1233;;;;3644;;;;;;;;;;;
13.03.2020;11;Freitag;4363;4315;4416;3443;3396;3493;2,7;2,66;2,74;2,5;2,48;2,52;2589;2,50;733;3444;2,70;17.03.2020;Dienstag;1144;;;4130;1,99;5829;2,81;1556;2,24;;;4047;1,70;;;;;;;;;;
14.03.2020;12;Samstag;4434;4383;4488;3910;3860;3959;2,26;2,23;2,29;2,18;2,17;2,2;3081;2,18;1043;3910;2,26;18.03.2020;Mittwoch;1042;;;4510;1,74;6445;2,49;1838;2,20;;;4560;1,57;;;;;;;;;;
15.03.2020;13;Sonntag;4679;4617;4739;4271;4216;4324;1,86;1,84;1,89;1,99;1,98;2;3559;1,99;1174;4271;1,86;19.03.2020;Donnerstag;2801;;;4804;1,56;6823;2,21;1967;2,08;;;4848;1,45;;;;;;;408,00;1120,43;125,00;2144,40
16.03.2020;14;Montag;6021;5961;6088;4874;4819;4932;1,71;1,69;1,72;1,74;1,73;1,75;4130;1,74;1144;4874;1,71;20.03.2020;Freitag;2958;;;4964;1,39;7274;2,04;2380;1,93;2858;2,32;4947;1,36;;;;;;;1147,00;1891,29;1057,29;1252,64
17.03.2020;15;Dienstag;5232;5171;5297;5091;5033;5153;1,48;1,46;1,49;1,56;1,55;1,57;4510;1,56;1042;5092;1,48;21.03.2020;Samstag;2705;;;5101;1,24;7139;1,73;2897;1,86;3260;2,09;4925;1,22;;;;;;;141,00;721,86;130,86;1906,95
18.03.2020;16;Mittwoch;5292;5229;5352;5306;5244;5369;1,36;1,34;1,37;1,39;1,39;1,4;4804;1,39;2801;5306;1,36;22.03.2020;Sonntag;1948;;;5102;1,13;6887;1,53;3337;1,82;3212;1,75;5116;1,12;;;;;;;14,00;488,00;189,71;1594,99
19.03.2020;17;Donnerstag;4725;4667;4784;5317;5257;5380;1,25;1,23;1,26;1,24;1,23;1,24;4964;1,24;2958;5318;1,25;23.03.2020;Montag;4062;;;4978;1,04;6485;1,35;3644;1,85;3920;1,99;5288;1,09;;;;;;;592,00;238,71;253,14;1760,18
20.03.2020;18;Freitag;5325;5267;5383;5143;5083;5204;1,06;1,05;1,06;1,13;1,13;1,14;5101;1,13;2705;5144;1,06;24.03.2020;Dienstag;4764;;;4854;0,98;6068;1,22;4047;1,70;4808;2,02;5344;1,08;;;;;;;182,00;223,86;470,57;743,20
21.03.2020;19;Samstag;4442;4376;4501;4946;4885;5005;0,97;0,96;0,98;1,04;1,03;1,04;5102;1,04;1948;4946;0,97;25.03.2020;Mittwoch;4118;;;4689;0,92;5651;1,11;4560;1,57;5560;1,92;5314;1,08;;;;;;;504,00;660,29;246,71;1208,69
22.03.2020;20;Sonntag;3810;3757;3866;4576;4517;4633;0,86;0,85;0,87;0,98;0,97;0,98;4978;0,98;4062;4576;0,86;26.03.2020;Donnerstag;4954;;;4565;0,89;5130;1,01;4848;1,45;5754;1,72;5595;1,09;;;;;;;766,00;1168,14;754,71;1320,11
23.03.2020;21;Montag;5155;5097;5210;4683;4624;4740;0,88;0,87;0,89;0,92;0,91;0,92;4854;0,92;4764;4683;0,88;27.03.2020;Freitag;5780;;;4461;0,90;4771;0,96;4947;1,36;5955;1,63;5442;1,03;;;;;;;472,00;300,57;694,00;383,81
24.03.2020;22;Dienstag;4072;4009;4129;4370;4310;4426;0,85;0,84;0,86;0,89;0,89;0,9;4689;0,89;4118;4370;0,85;28.03.2020;Samstag;6294;;;4289;0,88;4388;0,90;4925;1,22;6425;1,59;5330;1,00;;;;;;;298,00;616,71;217,29;316,08
25.03.2020;23;Mittwoch;4424;4369;4479;4365;4308;4421;0,88;0,87;0,89;0,9;0,89;0,9;4565;0,90;4954;4365;0,88;29.03.2020;Sonntag;3965;;;4210;0,90;4198;0,90;5116;1,12;6555;1,44;5123;0,96;;;;;;;59,00;140,71;213,71;225,78
26.03.2020;24;Donnerstag;3999;3945;4055;4412;4355;4468;0,96;0,96;0,97;0,88;0,88;0,89;4461;0,88;5780;4413;0,96;30.03.2020;Montag;4751;;;4133;0,91;4122;0,90;5288;1,09;6344;1,31;4954;0,89;;;;;;;413,00;462,00;133,86;123,26
27.03.2020;25;Freitag;4123;4058;4183;4154;4095;4211;0,89;0,88;0,9;0,9;0,89;0,9;4289;0,90;6294;4155;0,89;31.03.2020;Dienstag;4615;;;4024;0,90;3916;0,88;5344;1,08;5795;1,17;4833;0,89;;;;;;;31,00;166,29;98,71;206,71
28.03.2020;26;Samstag;3889;3830;3945;4109;4050;4165;0,94;0,93;0,95;0,91;0,9;0,91;4210;0,91;3965;4109;0,94;01.04.2020;Mittwoch;5453;;;3954;0,92;3891;0,91;5314;1,08;5659;1,15;4554;0,85;;;;;;;220,00;321,29;65,00;1,55
29.03.2020;27;Sonntag;3268;3207;3323;3819;3760;3876;0,87;0,87;0,89;0,9;0,9;0,91;4133;0,90;4751;3820;0,88;02.04.2020;Donnerstag;6156;;;3899;0,93;3822;0,91;5595;1,09;5664;1,11;4109;0,80;;;;;;;551,00;864,86;631,14;553,53
30.03.2020;28;Montag;4395;4337;4466;3919;3858;3979;0,89;0,88;0,9;0,92;0,92;0,93;4024;0,92;4615;3919;0,89;03.04.2020;Freitag;6174;;;3861;0,93;3730;0,90;5442;1,03;5655;1,07;3946;0,80;;;;;;;476,00;370,71;534,29;665,20
31.03.2020;29;Dienstag;3580;3501;3643;3783;3718;3844;0,91;0,9;0,92;0,93;0,92;0,93;3954;0,93;5453;3783;0,91;04.04.2020;Samstag;6082;;;3804;0,95;3716;0,92;5330;1,00;5584;1,04;3696;0,76;;;;;;;203,00;374,00;223,57;136,06
01.04.2020;30;Mittwoch;4040;3975;4101;3821;3755;3883;0,93;0,92;0,94;0,93;0,93;0,94;3899;0,93;6156;3821;0,93;05.04.2020;Sonntag;5936;;;3677;0,93;3683;0,93;5123;0,96;5954;1,12;3479;0,76;;;;;;;219,00;140,86;362,71;356,57
02.04.2020;31;Donnerstag;3730;3660;3789;3936;3868;4000;1,03;1,02;1,04;0,95;0,94;0,95;3861;0,95;6174;3936;1,03;06.04.2020;Montag;3677;;;3596;0,92;3680;0,94;4954;0,89;5561;0,99;3178;0,77;;;;;;;206,00;130,71;134,14;50,37
03.04.2020;32;Freitag;3723;3672;3781;3768;3702;3828;0,96;0,95;0,97;0,93;0,92;0,94;3804;0,93;6082;3768;0,96;07.04.2020;Dienstag;3834;1,30;;3447;0,89;3648;0,95;4833;0,89;5319;0,98;2901;0,74;0,03;0,00;0,04;0,02;0,37;0,05;45,00;80,57;276,43;74,55
04.04.2020;33;Samstag;3005;2947;3068;3624;3563;3685;0,96;0,95;0,97;0,92;0,92;0,93;3677;0,92;5936;3625;0,96;08.04.2020;Mittwoch;4003;1,20;;3371;0,89;3486;0,92;4554;0,85;4960;0,93;2826;0,76;0,04;0,00;0,03;0,00;0,28;0,01;619,00;672,29;366,43;480,77
05.04.2020;34;Sonntag;2698;2641;2754;3289;3230;3348;0,86;0,85;0,87;0,89;0,89;0,9;3596;0,89;3677;3289;0,86;09.04.2020;Donnerstag;4974;1,10;;3205;0,87;3369;0,92;4109;0,80;4456;0,87;2774;0,80;0,03;0,00;0,02;0,03;0,21;0,02;591,00;897,86;507,00;671,08
06.04.2020;35;Montag;3350;3290;3402;3194;3137;3251;0,81;0,8;0,82;0,89;0,88;0,89;3447;0,89;3834;3194;0,81;10.04.2020;Freitag;5323;1,10;;3057;0,85;3155;0,88;3946;0,80;4412;0,89;2665;0,84;0,08;0,00;0,04;0,01;0,21;0,00;156,00;96,57;293,14;195,45
07.04.2020;36;Dienstag;3054;2999;3112;3027;2969;3084;0,8;0,79;0,81;0,87;0,87;0,88;3371;0,87;4003;3027;0,80;11.04.2020;Samstag;4133;1,30;;2856;0,83;3059;0,89;3696;0,76;4092;0,85;2623;0,90;0,07;0,00;0,04;0,02;0,43;0,02;27,00;317,43;197,57;5,03
08.04.2020;37;Mittwoch;2875;2820;2933;2994;2937;3050;0,83;0,82;0,84;0,85;0,84;0,86;3205;0,85;4974;2994;0,83;12.04.2020;Sonntag;2821;1,30;;2714;0,81;2886;0,86;3479;0,76;3583;0,79;2587;0,92;0,02;0,00;0,04;0,01;0,45;0,06;119,00;330,00;160,71;10,56
09.04.2020;38;Donnerstag;2693;2642;2746;2993;2938;3048;0,91;0,9;0,92;0,83;0,82;0,84;3057;0,83;5323;2993;0,91;13.04.2020;Montag;2537;1,20;;2608;0,81;2724;0,85;3178;0,77;3345;0,81;2514;0,91;0,08;0,00;0,02;0,02;0,37;0,02;300,00;363,86;85,43;30,75
10.04.2020;39;Freitag;2320;2274;2375;2735;2684;2791;0,86;0,85;0,87;0,81;0,8;0,81;2856;0,81;4133;2736;0,86;14.04.2020;Dienstag;2082;1,00;;2399;0,78;2494;0,82;2901;0,74;2931;0,74;2365;0,89;0,05;0,00;0,03;0,01;0,19;0,07;415,00;536,43;79,00;174,16
11.04.2020;40;Samstag;2010;1962;2061;2474;2424;2529;0,82;0,81;0,83;0,81;0,81;0,82;2714;0,81;2821;2475;0,82;15.04.2020;Mittwoch;2486;0,90;;2240;0,78;2304;0,81;2826;0,76;2705;0,73;2143;0,82;0,01;0,00;0,03;0,00;0,09;0,08;464,00;704,29;229,86;293,74
12.04.2020;41;Sonntag;1951;1899;1996;2243;2194;2294;0,75;0,74;0,76;0,78;0,78;0,79;2608;0,78;2537;2244;0,75;16.04.2020;Donnerstag;2866;0,70;;2106;0,78;2206;0,81;2774;0,80;2543;0,73;2040;0,79;0,03;0,00;0,00;0,03;0,08;0,05;292,00;656,57;154,86;254,88
13.04.2020;42;Montag;1890;1840;1939;2043;1994;2093;0,68;0,67;0,69;0,78;0,78;0,79;2399;0,78;2082;2043;0,68;17.04.2020;Freitag;3380;0,70;;1971;0,76;1973;0,76;2665;0,84;2336;0,73;1932;0,77;0,10;0,00;0,02;0,02;0,08;0,05;153,00;509,00;80,57;83,28
14.04.2020;43;Dienstag;1940;1893;1986;1948;1899;1995;0,71;0,7;0,72;0,78;0,77;0,78;2240;0,78;2486;1948;0,71;18.04.2020;Samstag;3609;0,80;;1875;0,78;1849;0,77;2623;0,90;2427;0,84;1840;0,78;0,07;0,00;0,00;0,01;0,02;0,06;8,00;299,86;65,43;90,69
15.04.2020;44;Mittwoch;1937;1891;1991;1930;1881;1978;0,78;0,77;0,79;0,76;0,75;0,76;2106;0,76;2866;1930;0,78;19.04.2020;Sonntag;2458;0,80;;1793;0,80;1746;0,78;2587;0,92;2442;0,86;1707;0,80;0,02;0,00;0,04;0,02;0,04;0,10;7,00;168,86;144,43;190,96
16.04.2020;45;Donnerstag;1746;1702;1789;1879;1831;1926;0,84;0,82;0,85;0,78;0,77;0,79;1971;0,78;3380;1878;0,84;20.04.2020;Montag;1775;0,90;;1701;0,81;1623;0,77;2514;0,91;2384;0,86;1582;0,78;0,06;0,00;0,03;0,01;0,12;0,08;133,00;224,57;45,43;123,11
17.04.2020;46;Freitag;1648;1604;1696;1818;1772;1865;0,89;0,87;0,91;0,8;0,79;0,81;1875;0,80;3609;1818;0,89;21.04.2020;Dienstag;1785;0,90;;1656;0,84;1582;0,80;2365;0,89;2421;0,91;1482;0,77;0,09;0,00;0,04;0,00;0,10;0,11;170,00;226,57;7,57;66,46
18.04.2020;47;Samstag;1436;1393;1480;1692;1647;1739;0,87;0,85;0,89;0,81;0,8;0,82;1793;0,81;2458;1692;0,87;22.04.2020;Mittwoch;2237;0,90;;1572;0,84;1526;0,81;2143;0,82;2386;0,91;1324;0,72;0,06;0,00;0,03;0,00;0,09;0,10;256,00;356,57;135,57;89,96
19.04.2020;48;Sonntag;1307;1261;1351;1534;1490;1579;0,8;0,78;0,81;0,84;0,83;0,85;1701;0,84;1775;1534;0,80;23.04.2020;Donnerstag;2352;0,90;;1481;0,83;1443;0,81;2040;0,79;2300;0,89;1189;0,70;0,04;0,00;0,01;0,03;0,06;0,05;227,00;393,57;173,86;136,47
20.04.2020;49;Montag;1575;1526;1621;1491;1446;1537;0,79;0,78;0,81;0,84;0,83;0,85;1656;0,84;1785;1492;0,79;24.04.2020;Freitag;2337;0,90;;1413;0,83;1445;0,85;1932;0,77;2153;0,86;1140;0,72;0,05;0,00;0,01;0,01;0,06;0,02;84,00;80,57;162,29;130,48
21.04.2020;50;Dienstag;1352;1310;1400;1417;1373;1463;0,78;0,76;0,8;0,83;0,82;0,84;1572;0,83;2237;1418;0,78;25.04.2020;Samstag;2055;0,90;;1341;0,81;1369;0,83;1840;0,78;1887;0,80;1075;0,73;0,05;0,00;0,02;0,00;0,07;0,03;65,00;219,57;10,86;17,39
22.04.2020;51;Mittwoch;1302;1261;1342;1384;1340;1428;0,82;0,8;0,83;0,83;0,82;0,84;1481;0,83;2352;1384;0,82;26.04.2020;Sonntag;1737;0,90;;1279;0,81;1285;0,82;1707;0,80;1758;0,82;1024;0,77;0,01;0,00;0,02;0,01;0,07;0,01;82,00;178,86;22,71;17,22
23.04.2020;52;Donnerstag;1269;1229;1313;1374;1331;1419;0,9;0,88;0,91;0,81;0,8;0,82;1413;0,81;2337;1375;0,90;27.04.2020;Montag;1018;1,00;;1221;0,82;1239;0,84;1582;0,78;1595;0,78;996;0,84;0,09;0,00;0,01;0,03;0,19;0,03;105,00;143,71;47,57;30,13
24.04.2020;53;Freitag;1147;1103;1191;1267;1226;1311;0,85;0,83;0,87;0,81;0,8;0,82;1341;0,81;2055;1268;0,85;28.04.2020;Dienstag;1144;0,90;;1154;0,82;1151;0,81;1482;0,77;1488;0,77;935;0,82;0,04;0,00;0,01;0,00;0,09;0,04;120,00;194,14;6,57;3,97
25.04.2020;54;Samstag;1003;967;1041;1180;1140;1222;0,83;0,81;0,85;0,82;0,81;0,83;1279;0,82;1737;1180;0,83;29.04.2020;Mittwoch;1304;0,75;;1096;0,82;1096;0,82;1324;0,72;1390;0,76;978;0,91;0,01;0,00;0,00;0,00;0,07;0,06;177,00;276,29;92,71;93,38
26.04.2020;55;Sonntag;902;867;941;1080;1041;1121;0,78;0,76;0,8;0,82;0,81;0,83;1221;0,82;1018;1080;0,78;30.04.2020;Donnerstag;1478;0,76;;1033;0,81;1049;0,82;1189;0,70;1267;0,74;960;0,94;0,04;0,00;0,01;0,00;0,06;0,08;178,00;319,43;130,71;146,57
27.04.2020;56;Montag;1100;1061;1136;1038;999;1077;0,76;0,74;0,77;0,82;0,81;0,83;1154;0,82;1144;1038;0,76;01.05.2020;Freitag;1639;0,79;;985;0,81;986;0,81;1140;0,72;1227;0,78;914;0,92;0,06;0,00;0,01;0,01;0,03;0,04;62,00;53,57;114,71;113,76
28.04.2020;57;Dienstag;947;910;980;988;951;1024;0,78;0,76;0,8;0,81;0,8;0,82;1096;0,81;1304;988;0,78;02.05.2020;Samstag;945;0,78;;938;0,81;937;0,81;1075;0,73;1080;0,73;950;1,02;0,03;0,00;0,00;0,00;0,03;0,08;41,00;148,71;9,14;9,52
29.04.2020;58;Mittwoch;861;830;899;953;917;989;0,81;0,79;0,83;0,81;0,8;0,82;1033;0,81;1478;953;0,81;03.05.2020;Sonntag;793;0,74;;900;0,82;880;0,80;1024;0,77;956;0,72;928;0,95;0,00;0,00;0,01;0,01;0,07;0,09;92,00;171,71;39,43;19,08
30.04.2020;59;Donnerstag;937;903;976;961;926;998;0,89;0,87;0,91;0,81;0,8;0,83;985;0,81;1639;961;0,89;04.05.2020;Montag;679;0,76;;879;0,85;849;0,82;996;0,84;896;0,75;878;0,91;0,08;0,00;0,04;0,01;0,05;0,06;24,00;48,29;57,86;88,35
01.05.2020;60;Freitag;815;782;854;890;856;927;0,86;0,83;0,88;0,82;0,81;0,83;938;0,82;945;890;0,86;05.05.2020;Dienstag;685;0,71;;849;0,86;807;0,82;935;0,82;803;0,70;836;0,91;0,04;0,00;0,04;0,00;0,11;0,12;75,00;122,86;33,86;7,61
02.05.2020;61;Samstag;741;711;774;839;806;876;0,85;0,83;0,87;0,85;0,84;0,86;900;0,85;793;839;0,85;06.05.2020;Mittwoch;947;0,65;;830;0,89;778;0,83;978;0,91;814;0,76;746;0,79;0,00;0,00;0,04;0,02;0,20;0,09;98,00;159,43;89,43;36,95
03.05.2020;62;Sonntag;753;724;789;812;780;848;0,85;0,83;0,88;0,86;0,85;0,87;879;0,86;679;812;0,85;07.05.2020;Donnerstag;1284;0,71;;814;0,90;777;0,86;960;0,94;868;0,85;734;0,79;0,01;0,00;0,04;0,00;0,15;0,01;59,00;126,14;60,57;24,14
04.05.2020;63;Montag;888;851;925;799;767;835;0,83;0,8;0,85;0,89;0,87;0,9;849;0,89;685;799;0,83;08.05.2020;Freitag;1209;0,83;;781;0,89;759;0,86;914;0,92;833;0,84;732;0,83;0,06;0,00;0,00;0,03;0,06;0,05;89,00;39,14;107,43;129,17
05.05.2020;64;Dienstag;818;785;856;800;767;836;0,9;0,87;0,93;0,9;0,89;0,92;830;0,90;947;800;0,90;09.05.2020;Samstag;1251;1,10;;761;0,90;759;0,89;950;1,02;932;1,00;672;0,80;0,00;0,00;0,00;0,01;0,20;0,10;18,00;12,43;56,86;59,15
06.05.2020;65;Mittwoch;743;712;771;801;768;835;0,95;0,93;0,99;0,89;0,87;0,9;814;0,89;1284;801;0,95;10.05.2020;Sonntag;667;1,13;;739;0,89;756;0,91;928;0,95;925;0,95;672;0,90;0,06;0,00;0,00;0,02;0,24;0,06;58,00;70,57;4,43;12,64
07.05.2020;66;Donnerstag;706;676;738;789;756;822;0,97;0,95;1;0,9;0,88;0,91;781;0,90;1209;789;0,97;11.05.2020;Montag;357;1,07;;710;0,87;719;0,88;878;0,91;856;0,89;645;0,88;0,07;0,00;0,03;0,02;0,17;0,01;83,00;74,57;4,29;12,60
08.05.2020;67;Freitag;679;648;711;737;705;769;0,92;0,9;0,95;0,89;0,87;0,9;761;0,89;1251;737;0,92;12.05.2020;Dienstag;933;0,94;;679;0,87;702;0,90;836;0,91;964;1,05;580;0,79;0,03;0,00;0,02;0,01;0,05;0,16;58,00;82,14;0,14;23,01
09.05.2020;68;Samstag;583;551;611;678;647;708;0,85;0,82;0,87;0,87;0,86;0,89;739;0,87;667;678;0,85;13.05.2020;Mittwoch;798;0,81;;651;0,86;673;0,88;746;0,79;882;0,93;583;0,87;0,02;0,00;0,01;0,01;0,06;0,06;95,00;155,57;67,86;90,42
10.05.2020;69;Sonntag;555;527;589;631;600;662;0,79;0,76;0,81;0,87;0,86;0,88;710;0,87;357;631;0,79;14.05.2020;Donnerstag;933;0,75;0,88;628;0,85;636;0,86;734;0,79;814;0,88;561;0,84;0,08;0,00;0,02;0,01;0,12;0,01;76,00;155,29;73,29;81,30
11.05.2020;70;Montag;668;636;698;621;590;652;0,79;0,76;0,81;0,86;0,84;0,87;679;0,86;933;621;0,79;15.05.2020;Freitag;913;0,80;0,90;603;0,85;609;0,86;732;0,83;789;0,90;553;0,86;0,07;0,00;0,01;0,00;0,06;0,04;47,00;10,86;65,29;59,34
12.05.2020;71;Dienstag;622;592;654;607;576;638;0,82;0,8;0,85;0,85;0,84;0,87;651;0,85;798;607;0,82;16.05.2020;Samstag;620;0,88;0,89;603;0,89;578;0,85;672;0,80;649;0,78;542;0,93;0,03;0,00;0,04;0,00;0,03;0,07;15,00;28,86;19,43;43,99
13.05.2020;72;Mittwoch;585;555;614;608;577;639;0,9;0,86;0,93;0,85;0,83;0,87;628;0,85;933;608;0,90;17.05.2020;Sonntag;583;0,94;0,87;599;0,92;559;0,86;672;0,90;633;0,85;480;0,82;0,05;0,00;0,07;0,01;0,09;0,00;23,00;43,29;14,14;26,01
14.05.2020;73;Donnerstag;527;496;562;601;570;632;0,95;0,91;0,99;0,89;0,87;0,9;603;0,89;913;601;0,95;18.05.2020;Montag;342;0,91;0,82;584;0,93;538;0,86;645;0,88;628;0,86;424;0,76;0,06;0,00;0,04;0,03;0,02;0,03;74,00;75,71;56,57;10,88
15.05.2020;74;Freitag;678;644;716;603;572;636;0,97;0,94;1,01;0,92;0,9;0,94;603;0,92;620;603;0,97;19.05.2020;Dienstag;513;0,86;0,81;576;0,96;554;0,92;580;0,79;552;0,75;464;0,84;0,05;0,00;0,04;0,00;0,06;0,17;75,00;75,43;102,00;124,01
16.05.2020;75;Samstag;559;530;590;587;556;620;0,97;0,93;1;0,93;0,91;0,95;599;0,93;583;587;0,97;20.05.2020;Mittwoch;797;0,88;0,87;554;0,92;564;0,94;583;0,87;612;0,91;478;0,88;0,04;0,00;0,01;0,01;0,05;0,02;28,00;40,14;4,86;4,59
17.05.2020;76;Sonntag;446;416;477;552;521;586;0,91;0,88;0,95;0,96;0,94;0,97;584;0,96;342;553;0,91;21.05.2020;Donnerstag;745;0,89;0,92;551;0,92;551;0,92;561;0,84;583;0,87;457;0,95;0,05;0,00;0,04;0,04;0,07;0,09;106,00;137,57;105,43;105,11
18.05.2020;77;Montag;615;590;643;574;545;606;0,96;0,93;0,99;0,92;0,9;0,94;576;0,92;513;575;0,96;22.05.2020;Freitag;460;0,85;0,91;532;0,91;557;0,95;553;0,86;506;0,79;464;1,09;0,04;0,00;0,01;0,03;0,07;0,13;41,00;39,00;83,43;57,89
19.05.2020;78;Dienstag;469;439;496;522;494;551;0,87;0,83;0,9;0,92;0,9;0,94;554;0,92;797;522;0,87;23.05.2020;Samstag;638;0,83;0,89;490;0,85;519;0,90;542;0,93;537;0,93;432;0,93;0,05;0,00;0,07;0,02;0,09;0,01;53,00;85,14;20,86;50,27
20.05.2020;79;Mittwoch;566;536;593;524;495;552;0,89;0,86;0,93;0,91;0,89;0,93;551;0,91;745;524;0,89;24.05.2020;Sonntag;431;0,94;0,93;462;0,83;517;0,93;480;0,82;497;0,85;429;0,90;0,02;0,00;0,08;0,02;0,03;0,06;42,00;14,57;104,14;48,64
21.05.2020;80;Donnerstag;388;366;412;509;483;536;0,92;0,89;0,96;0,85;0,84;0,87;532;0,85;460;510;0,92;25.05.2020;Montag;289;0,83;0,84;451;0,82;495;0,90;424;0,76;484;0,86;435;0,95;0,07;0,00;0,03;0,05;0,02;0,01;121,00;143,57;63,00;107,34
22.05.2020;81;Freitag;386;359;411;452;425;478;0,79;0,76;0,82;0,83;0,82;0,85;490;0,83;638;452;0,79;26.05.2020;Dienstag;432;0,70;0,78;430;0,81;433;0,81;464;0,84;509;0,92;402;0,87;0,04;0,00;0,02;0,02;0,13;0,09;66,00;103,86;44,00;46,73
23.05.2020;82;Samstag;363;340;388;426;400;451;0,82;0,78;0,85;0,82;0,8;0,84;462;0,82;431;426;0,82;27.05.2020;Mittwoch;362;0,68;0,76;425;0,87;402;0,82;478;0,88;404;0,75;355;0,82;0,00;0,00;0,05;0,00;0,14;0,07;63,00;98,86;62,00;39,19
24.05.2020;83;Sonntag;370;344;396;377;352;401;0,72;0,69;0,75;0,81;0,79;0,83;451;0,81;289;377;0,72;28.05.2020;Donnerstag;353;0,61;0,78;409;0,89;381;0,83;457;0,95;339;0,71;357;0,83;0,09;0,00;0,08;0,02;0,20;0,10;7,00;81,00;39,00;11,09
25.05.2020;84;Montag;468;445;492;397;372;421;0,78;0,75;0,81;0,87;0,85;0,89;430;0,87;432;397;0,78;29.05.2020;Freitag;741;0,85;0,85;408;0,90;367;0,81;464;1,09;412;0,97;340;0,78;0,09;0,00;0,03;0,06;0,02;0,10;71,00;38,00;60,29;101,02
26.05.2020;85;Dienstag;434;406;460;409;384;434;0,9;0,87;0,94;0,89;0,87;0,91;425;0,89;362;409;0,90;30.05.2020;Samstag;738;1,03;0,95;402;0,94;383;0,89;432;0,93;446;0,96;359;0,89;0,01;0,00;0,05;0,00;0,14;0,07;25,00;9,00;31,71;51,13
27.05.2020;86;Mittwoch;454;429;478;432;406;456;1,01;0,97;1,05;0,9;0,88;0,92;409;0,90;353;432;1,01;31.05.2020;Sonntag;286;1,04;0,90;392;0,92;378;0,89;429;0,90;445;0,93;356;1,00;0,11;0,00;0,02;0,01;0,14;0,03;22,00;45,00;62,29;76,12
